Subject,Predicate,Object
Stephen Fry,Tätigkeit,Filmschauspieler
Äquatorialguinea,Mitglied von,Internationale Fernmeldeunion
Michael Nesmith,Tätigkeit,Filmschauspieler
Chris Rea,Genre,Blues
Schweden,diplomatische Beziehung,Irak
Henri Poincaré,Arbeitgeber,École polytechnique
Südkorea,Mitglied von,Gruppe der zwanzig wichtigsten Industrie- und Schwellenländer
Monaco,Mitglied von,European Organisation for the Safety of Air Navigation
Ecuador,diplomatische Beziehung,Volksrepublik China
Kiely Williams,Plattenlabel,Walt Disney Records
Republik Kongo,Mitglied von,
Thomas Carlyle,Tätigkeit,Linguist
Brad Pitt,Wohnsitz,Los Angeles
James Clerk Maxwell,Mitglied von,Königlich Niederländische Akademie der Wissenschaften
Liberace,Tätigkeit,Fernsehschauspieler
Aimee Mann,Tätigkeit,Komponist
Jean-Luc Godard,Tätigkeit,Fernsehproduzent
Alan Arkin,Tätigkeit,Filmschauspieler
Vereinigte Staaten,diplomatische Beziehung,Mongolei
Neil Gaiman,Tätigkeit,Schriftsteller
Fidschi,Mitglied von,International Hydrographic Organization
Frankreich,diplomatische Beziehung,Suriname
Jimmy Fallon,Geburtsort,Brooklyn
Ariana Grande,Plattenlabel,Universal Music Group
Kamerun,Amtssprache,Französisch
Irving Berlin,Plattenlabel,Columbia Records
Peter Buck,Tätigkeit,Musikwissenschaftler
Aserbaidschan,diplomatische Beziehung,Bangladesch
Holly Johnson,Tätigkeit,Schriftsteller
Steve Allen,Tätigkeit,Fernsehmoderator
Südkorea,diplomatische Beziehung,Frankreich
David Bowie,Tätigkeit,Pianist
Finnland,diplomatische Beziehung,Republik China
Jacques Rivette,beeinflusst von,Lewis Carroll
George Porter,Mitglied von,American Philosophical Society
Robin Gibb,Geschwister,Barry Gibb
Norman Wisdom,Land der Staatsangehörigkeit,Vereinigtes Königreich
Njuscha Wladimirowna Schurotschkina,Tätigkeit,Model
Republik China,diplomatische Beziehung,Kanada
Donny Osmond,Instrument,Stimme
Fred Hoyle,Tätigkeit,Sachbuchautor
Schweden,diplomatische Beziehung,Indonesien
Kid Cudi,Genre,Alternative Rock
Ghana,Mitglied von,Internationale Finanz-Corporation
Joni Mitchell,Genre,Artrock
Gotthelf Fischer von Waldheim,besuchte Bildungseinrichtung,Universität Leipzig
Jessica Simpson,Tätigkeit,Musiker
H. P. Lovecraft,Genre,Science-Fiction
Mary-Kate Olsen,Tätigkeit,Filmproduzent
John Desmond Bernal,Tätigkeit,Erfinder
Karlheinz Stockhausen,Tätigkeit,Musikpädagoge
MC Hammer,Tätigkeit,Tänzer
Russland,diplomatische Beziehung,Burkina Faso
Al Jolson,Tätigkeit,Jazzmusiker
Schweden,diplomatische Beziehung,Italien
Mircea Eliade,gesprochene oder publizierte Sprachen,Französisch
Schweden,Mitglied von,Organisation für das Verbot chemischer Waffen
Deutschland,diplomatische Beziehung,Tonga
Erika Mann,Tätigkeit,Autobiograf
David Clayton-Thomas,Genre,Rockmusik
Argentinien,diplomatische Beziehung,Griechenland
Raymond Aron,Todesursache,Herzinfarkt
Bob Hope,Tätigkeit,Sänger
Henry Le Chatelier,Tätigkeit,Professor
Ulrich von Wilamowitz-Moellendorff,Todesursache,Nierenversagen
Ricky Nelson,Plattenlabel,MCA Records
Volksrepublik China,diplomatische Beziehung,Niederlande
Ernst Mayr,Religionszugehörigkeit,Atheismus
Marvin Gaye,Tätigkeit,Singer-Songwriter
Anastacia,Tätigkeit,Philanthrop
Frank Wedekind,Tätigkeit,Autor
Vereinigte Arabische Emirate,diplomatische Beziehung,Heiliger Stuhl
Bing Crosby,Instrument,Stimme
Janet Jackson,Geschwister,Tito Jackson
Alejandro Jodorowsky,Tätigkeit,Produzent
Drake,Tätigkeit,Sänger
Massimo Bontempelli,Tätigkeit,Dichter
Avicenna,Arbeitsgebiet,Philosophie
Japan,Mitglied von,Asiatische Entwicklungsbank
Madonna,Tätigkeit,Schauspieler
k.d. lang,Instrument,Gitarre
Allen Ginsberg,besuchte Bildungseinrichtung,Columbia University
Steve Carell,Tätigkeit,Filmschauspieler
Johann Wolfgang von Goethe,Tätigkeit,Philosoph
Republik China,diplomatische Beziehung,Honduras
Whitney Houston,Instrument,Vokalist
Michel Houellebecq,beeinflusst von,H. P. Lovecraft
Brian May,Tätigkeit,Gitarrist
Janelle Monáe,Tätigkeit,Komponist
Gotthold Ephraim Lessing,Arbeitsgebiet,darstellende Kunst
Ecuador,Mitglied von,Internationale Fernmeldeunion
Sting,Plattenlabel,A&M Records
Malawi,Mitglied von,African Union/United Nations Hybrid Operation in Darfur
Jason Newsted,Genre,Metal
Frankreich,diplomatische Beziehung,Kosovo
Charles Baudelaire,gesprochene oder publizierte Sprachen,Französisch
Jorge Luis Borges,beeinflusst von,Platon
Eswatini,Mitglied von,Entwicklungsgemeinschaft des südlichen Afrika
Aserbaidschan,Bevölkerungsgruppe,Russen
Zora Neale Hurston,Religionszugehörigkeit,Atheismus
Nas,Tätigkeit,Rapper
Helge Schneider,Instrument,Saxophon
Czesław Miłosz,gesprochene oder publizierte Sprachen,amerikanisches Englisch
Rumänien,Mitglied von,NATO
Fred Astaire,Todesursache,Lungenentzündung
Avicii,Plattenlabel,Universal Music Group
Van Morrison,Tätigkeit,Singer-Songwriter
Wang Leehom,Instrument,Gitarre
George Martin,Genre,Rockmusik
Guinea-Bissau,Mitglied von,Vereinte Nationen
Günther Anders,Tätigkeit,Übersetzer
Michael Jackson,Instrument,Schlagzeug
Al Jolson,Tätigkeit,Musiker
John Dos Passos,Tätigkeit,Maler
David Brewster,Tätigkeit,Mathematiker
Jeschajahu Leibowitz,Tätigkeit,Philosoph
Charlotte Gainsbourg,Genre,Alternative Rock
Elmer Bernstein,Tätigkeit,Songschreiber
Lauren Bacall,Tätigkeit,Sprecher
Burundi,Mitglied von,Welthandelsorganisation
Bulgarien,diplomatische Beziehung,Ungarn
Carlos Fuentes,Tätigkeit,Romancier
Melanie Brown,Land der Staatsangehörigkeit,Vereinigtes Königreich
André Malraux,Todesursache,Krebs
Steven Weinberg,Arbeitgeber,"University of California, Berkeley"
Jennifer Love Hewitt,Tätigkeit,Filmproduzent
Weird Al Yankovic,Genre,Popmusik
Tatjana Nikititschna Tolstaja,Arbeitsgebiet,Essay
Australien,diplomatische Beziehung,Mongolei
Südafrika,diplomatische Beziehung,Europäische Union
Julie Tippetts,Plattenlabel,Atco-Records
Republik Kongo,Mitglied von,Multilaterale Investitions-Garantie-Agentur
Big Sean,Tätigkeit,Rapper
David Attenborough,Tätigkeit,Biologe
Herbie Hancock,Plattenlabel,Warner Bros. Records
Südafrika,diplomatische Beziehung,Australien
Claudio Magris,Tätigkeit,Schriftsteller
Gustav Robert Kirchhoff,Arbeitgeber,Ruprecht-Karls-Universität Heidelberg
China Anne McClain,Tätigkeit,Filmschauspieler
Bridgit Mendler,Tätigkeit,Filmschauspieler
Jegor Letow,Genre,Psychedelic Rock
Jacques Rivette,Tätigkeit,Schriftsteller
Emilie Autumn,Genre,Folk
Zbigniew Herbert,Mitglied von,Akademie der Künste Berlin
Elie Wiesel,Land der Staatsangehörigkeit,Vereinigte Staaten
George Steiner,Mitglied von,Bayerische Akademie der Schönen Künste
Karl Marx,beeinflusst von,Georg Wilhelm Friedrich Hegel
Sidney Sheldon,Tätigkeit,Fernsehproduzent
Trent Reznor,Tätigkeit,Vokalist
Mali,Mitglied von,Weltpostverein
Volksrepublik China,Mitglied von,Nuclear Suppliers Group
Alexander Rybak,gesprochene oder publizierte Sprachen,Englisch
Willow Smith,Tätigkeit,Tänzer
Iggy Pop,Zeitraum,20. Jahrhundert
Nicole Scherzinger,Tätigkeit,Musiker
Felix Philipp Kanitz,Land der Staatsangehörigkeit,Kaisertum Österreich
Laos,Mitglied von,Internationale Entwicklungsorganisation
Ján Kollár,Land der Staatsangehörigkeit,Kaisertum Österreich
Kroatien,Mitglied von,International Hydrographic Organization
Botswana,Mitglied von,UNESCO
Little Richard,Plattenlabel,Mercury Records
Jean-Baptiste Biot,Arbeitsgebiet,Physik
Syrien,diplomatische Beziehung,Jemen
Erwin Raisz,gesprochene oder publizierte Sprachen,Französisch
Serbien,diplomatische Beziehung,Bhutan
Ben Elton,Land der Staatsangehörigkeit,Australien
Katharine McPhee,Tätigkeit,Singer-Songwriter
Beatriz Luengo,gesprochene oder publizierte Sprachen,Englisch
Papua-Neuguinea,Mitglied von,Weltpostverein
Mary-Kate Olsen,besuchte Bildungseinrichtung,New York University
Vincent Gallo,Tätigkeit,Drehbuchautor
Carlo Rubbia,Tätigkeit,Physiker
Shel Silverstein,Plattenlabel,Elektra Records
Nena,Tätigkeit,Musiker
Archibald Vivian Hill,Arbeitgeber,University of Cambridge
Christa Wolf,Land der Staatsangehörigkeit,Deutsche Demokratische Republik
Left Eye,Genre,Tanzmusik
Paul Valéry,Bevölkerungsgruppe,Franzosen
Ukraine,diplomatische Beziehung,Montenegro
Frank Zappa,Tätigkeit,Komponist
Spike Milligan,Tätigkeit,Drehbuchautor
Lisa Loeb,Tätigkeit,DJ
Henry Rollins,Instrument,Stimme
Uganda,Mitglied von,Vereinte Nationen
Camillo Golgi,Mitglied von,Deutsche Akademie der Naturforscher Leopoldina
Ben Moody,Instrument,Klavier
Bob Dylan,Tätigkeit,Hörfunkmoderator
Jim Messina,Tätigkeit,Musiker
Ricky Gervais,besuchte Bildungseinrichtung,University College London
Karlheinz Stockhausen,Genre,elektronische Musik
Mick Jagger,Instrument,Stimme
Debbie Reynolds,gesprochene oder publizierte Sprachen,Englisch
Amr Diab,Land der Staatsangehörigkeit,Ägypten
Vitas,Instrument,Stimme
Thailand,Mitglied von,Interpol
Holly Near,besuchte Bildungseinrichtung,"University of California, Los Angeles"
Lil’ Mama,Tätigkeit,Sänger
Edward Said,gesprochene oder publizierte Sprachen,Arabisch
Mexiko,diplomatische Beziehung,Indien
Julian Klaczko,Tätigkeit,Schriftsteller
Singapur,diplomatische Beziehung,Mexiko
Thomas Henry Huxley,Tätigkeit,Anthropologe
Guinea-Bissau,Mitglied von,Organisation für das Verbot chemischer Waffen
Kroatien,Mitglied von,Vertrag über den Offenen Himmel
Henry James,gesprochene oder publizierte Sprachen,Englisch
Mick Jagger,Tätigkeit,Dichter
Michail Nikolajewitsch Sadornow,Tätigkeit,Regisseur
Hermann F. Mark,Tätigkeit,Ingenieur
Charles Babbage,Mitglied von,Sankt Petersburger Akademie der Wissenschaften
Wang Leehom,Instrument,Schlagzeug
Wilhelm Herschel,Mitglied von,Sankt Petersburger Akademie der Wissenschaften
Österreich,diplomatische Beziehung,Japan
Gotthelf Fischer von Waldheim,Mitglied von,Bayerische Akademie der Wissenschaften
Belgien,diplomatische Beziehung,Vereinigte Staaten
Brandy,Arbeitsgebiet,Musikkomposition
Vereinigte Staaten,diplomatische Beziehung,Europäische Union
Barry Gibb,Genre,Disco
Billy Crystal,Geburtsort,New York City
Deutschland,diplomatische Beziehung,Kasachstan
Kanada,Staatsoberhaupt,Elisabeth II.
Kanada,Mitglied von,Weltpostverein
James Blake,Genre,Popmusik
Eritrea,diplomatische Beziehung,Israel
Sheldon Lee Glashow,Geburtsort,New York City
Joss Whedon,Tätigkeit,Fernsehschauspieler
Ungarn,diplomatische Beziehung,Chile
Lena Meyer-Landrut,Land der Staatsangehörigkeit,Deutschland
Gene Simmons,gesprochene oder publizierte Sprachen,Hebräisch
Will Smith,Plattenlabel,Columbia Records
Julio Cortázar,gesprochene oder publizierte Sprachen,Englisch
George Tabori,Tätigkeit,Übersetzer
Jodie Foster,Tätigkeit,Fernsehschauspieler
Howard Hughes,Tätigkeit,Erfinder
Per Olov Enquist,Tätigkeit,Kinderbuchautor
Liberia,Mitglied von,Multilaterale Investitions-Garantie-Agentur
Alexander von Humboldt,Tätigkeit,Botaniker
Georg Friedrich Händel,Religionszugehörigkeit,Evangelisch-lutherische Kirchen
Boris Borissowitsch Grebenschtschikow,Tätigkeit,Keyboarder
Portugal,Mitglied von,International Hydrographic Organization
Heinrich Böll,Mitglied von,Deutsche Akademie für Sprache und Dichtung
Athanasius Kircher,Tätigkeit,Theologe
Brasilien,diplomatische Beziehung,Honduras
Haiti,diplomatische Beziehung,Mexiko
Toni Braxton,Genre,Soul
Vereinigte Staaten,diplomatische Beziehung,Republik Kongo
Connie Francis,Genre,Country-Musik
Heinrich Hertz,Geburtsort,Hamburg
Simon Sechter,gesprochene oder publizierte Sprachen,Deutsch
Dänemark,diplomatische Beziehung,Bangladesch
Argentinien,diplomatische Beziehung,Heiliger Stuhl
Republik China,diplomatische Beziehung,Russland
Cyndi Lauper,Land der Staatsangehörigkeit,Vereinigte Staaten
Armenien,Mitglied von,Asiatische Entwicklungsbank
Peggy Lee,Tätigkeit,Aufnahmekünstler
Nicole Scherzinger,Plattenlabel,Polydor
Milton Friedman,Tätigkeit,Wirtschaftswissenschaftler
Eritrea,Mitglied von,Multilaterale Investitions-Garantie-Agentur
George Gordon Byron,Geburtsort,London
Jay Chou,Tätigkeit,Schauspieler
Galina Pawlowna Wischnewskaja,Genre,Oper
Tara Strong,Land der Staatsangehörigkeit,Vereinigte Staaten
T.I.,Tätigkeit,Schauspieler
Rabindranath Thakur,Genre,Essay
Schweiz,diplomatische Beziehung,Vereinigte Staaten
Emma Goldman,Bevölkerungsgruppe,Juden
Nena,Tätigkeit,Schauspieler
Bulgarien,diplomatische Beziehung,Georgien
Singapur,diplomatische Beziehung,Australien
Iran,diplomatische Beziehung,Philippinen
Karl Lachmann,Land der Staatsangehörigkeit,Deutschland
Sambia,diplomatische Beziehung,Nigeria
Ägypten,diplomatische Beziehung,Italien
Australien,diplomatische Beziehung,Antigua und Barbuda
John Mayer,Tätigkeit,Künstler
Seth Rogen,Tätigkeit,Executive Producer
Senegal,Mitglied von,Internationale Fernmeldeunion
Belize,Mitglied von,Internationale Fernmeldeunion
Big Sean,Tätigkeit,Musikproduzent
Leon Russell,Tätigkeit,Musiker
Chris Martin,gesprochene oder publizierte Sprachen,Französisch
Australien,Mitglied von,Interpol
Indonesien,diplomatische Beziehung,Volksrepublik China
Alan Stivell,Tätigkeit,Dirigent
Roy Orbison,Instrument,Stimme
Libyen,Mitglied von,Arabischer Währungsfonds
Rumänien,diplomatische Beziehung,Philippinen
Guyana,Mitglied von,Welthandelsorganisation
Belgien,Mitglied von,Welthandelsorganisation
Turkmenistan,Mitglied von,Organisation für Sicherheit und Zusammenarbeit in Europa
Eugène Ionesco,Mitglied von,Académie française
Johann Georg Adam Forster,Mitglied von,Royal Society
Johannes Paul II.,Land der Staatsangehörigkeit,Polen
Shania Twain,Tätigkeit,Sänger
Macy Gray,Tätigkeit,Sänger
Suriname,Mitglied von,AKP-Gruppe
Heinrich Böll,Land der Staatsangehörigkeit,Deutschland
Spike Milligan,Tätigkeit,Fernsehschauspieler
Indien,diplomatische Beziehung,Kuwait
Dmitri Dmitrijewitsch Schostakowitsch,Todesursache,Bronchialkarzinom
Ray Charles,Parteizugehörigkeit,Republikanische Partei
Volksrepublik China,diplomatische Beziehung,Jamaika
Brunei,Mitglied von,International Hydrographic Organization
Drake,Geburtsort,Toronto
Deutschland,diplomatische Beziehung,Indonesien
Henry James,Land der Staatsangehörigkeit,Königreich Italien
Jay-Z,Bevölkerungsgruppe,Afroamerikaner
Harold Pinter,Geburtsort,London
Demokratische Republik Kongo,Mitglied von,Multilaterale Investitions-Garantie-Agentur
Sidney Poitier,Land der Staatsangehörigkeit,Vereinigte Staaten
David Cross,Tätigkeit,Sänger
Donny Hathaway,Tätigkeit,Musiker
Staat Palästina,diplomatische Beziehung,Brasilien
Irland,diplomatische Beziehung,Philippinen
Jamaika,Mitglied von,Organismo para la Proscripción de las Armas Nucleares en la América Latina y el Caribe
Barthold Georg Niebuhr,Mitglied von,Russische Akademie der Wissenschaften
Leon Battista Alberti,Tätigkeit,Schriftsteller
Usbekistan,diplomatische Beziehung,Ukraine
Ukraine,diplomatische Beziehung,Polen
Stanisław Lem,Bevölkerungsgruppe,Juden
Buffy Sainte-Marie,Plattenlabel,MCA Records
Che Guevara,Wohnsitz,Bolivien
Fritz Lang,gesprochene oder publizierte Sprachen,Deutsch
Richard Dawkins,Bewegung,Agnostizismus
Tinashe Kachingwe,gesprochene oder publizierte Sprachen,Englisch
Sam Cooke,Genre,Rhythm and Blues
Joaquim Maria Machado de Assis,Bewegung,Realismus
Prosper Mérimée,Tätigkeit,Übersetzer
Igor Strawinsky,Tätigkeit,Komponist
Ľudovít Štúr,gesprochene oder publizierte Sprachen,Tschechisch
Kanada,diplomatische Beziehung,Vereinigte Staaten
Nepal,diplomatische Beziehung,Japan
Paul G. Allen,Tätigkeit,Ingenieur
Panama,Mitglied von,Organisation Amerikanischer Staaten
Jewel,Tätigkeit,Dichter
Hilary Duff,Instrument,Stimme
Mohandas Karamchand Gandhi,Arbeitsgebiet,Philosophie
Prince,Tätigkeit,Tänzer
David Lindley,Instrument,Gitarre
Monica,Plattenlabel,Arista Records
Ukraine,diplomatische Beziehung,Griechenland
David Clayton-Thomas,Genre,Funk
Carlo Rubbia,Mitglied von,Academia Europaea
Anna Andrejewna Achmatowa,Bevölkerungsgruppe,Russen
Eritrea,diplomatische Beziehung,Jemen
Angie Stone,Tätigkeit,Fernsehschauspieler
Anthony Burgess,Tätigkeit,Literaturkritiker
Gustavo Cerati,Plattenlabel,Sony Music
Selena Gomez,Tätigkeit,Singer-Songwriter
Tori Amos,Tätigkeit,Musiker
Natalie Portman,Wohnsitz,"Washington, D.C."
Saudi-Arabien,Mitglied von,Internationale Bank für Wiederaufbau und Entwicklung
Joseph Jackson,Kind,Michael Jackson
Patrice Chéreau,Tätigkeit,Filmschauspieler
Camille Jordan,Tätigkeit,Ingenieur
Kap Verde,diplomatische Beziehung,Senegal
Charles Aznavour,Tätigkeit,Aufnahmekünstler
Hugh Laurie,Tätigkeit,Sprecher
Barbados,Mitglied von,AKP-Gruppe
James Joyce,gesprochene oder publizierte Sprachen,Französisch
Ralph Waldo Emerson,beeinflusst von,Platon
Priscilla Presley,Tätigkeit,Filmproduzent
Sheryl Crow,Tätigkeit,Komponist
Estland,diplomatische Beziehung,Usbekistan
Kosovo,diplomatische Beziehung,Saudi-Arabien
Cass Elliot,Tätigkeit,Musikproduzent
Ferdinand von Richthofen,Mitglied von,Royal Society of Edinburgh
"Tyler, the Creator",Instrument,Gitarre
Nick Cannon,Tätigkeit,Fernsehschauspieler
Thailand,diplomatische Beziehung,Südkorea
Ruanda,Mitglied von,Internationales Zentrum zur Beilegung von Investitionsstreitigkeiten
Brasilien,diplomatische Beziehung,Südsudan
Edward Sabine,Tätigkeit,Physiker
Czesław Miłosz,Mitglied von,Serbische Akademie der Wissenschaften und Künste
Argentinien,diplomatische Beziehung,Vereinigtes Königreich
Lew Nikolajewitsch Tolstoi,Tätigkeit,Philosoph
Joseph Conrad,Tätigkeit,Essayist
Jaden Smith,Geschwister,Willow Smith
Bruce Springsteen,Plattenlabel,Columbia Records
André Gide,Tätigkeit,Dramatiker
Bertrand Russell,Arbeitgeber,University of Chicago
Vereinigte Staaten,diplomatische Beziehung,Kambodscha
Polen,Mitglied von,
Tunesien,Mitglied von,Vereinte Nationen
Bulgarien,diplomatische Beziehung,Mexiko
Finnland,Mitglied von,Australische Gruppe
Nikolai Gennadijewitsch Bassow,Parteizugehörigkeit,Kommunistische Partei der Sowjetunion
Salman Rushdie,beeinflusst von,Vladimir Nabokov
Joseph Jackson,Tätigkeit,Drehbuchautor
Vereinigte Staaten,diplomatische Beziehung,Albanien
Salomonen,Mitglied von,Internationales Zentrum zur Beilegung von Investitionsstreitigkeiten
Philip Pullman,Land der Staatsangehörigkeit,Vereinigtes Königreich
Ghana,Mitglied von,Internationale Entwicklungsorganisation
Tamara Bunke,Tätigkeit,Journalist
Brad Delson,Tätigkeit,Musiker
"Charles de Secondat, Baron de Montesquieu",Tätigkeit,Rechtsanwalt
Iran,diplomatische Beziehung,Rumänien
Shen Kuo,Tätigkeit,Geologe
Georg Christoph Lichtenberg,Arbeitgeber,Georg-August-Universität Göttingen
Max Frisch,Tätigkeit,Drehbuchautor
Tito Jackson,Genre,Blues
Joumana Haddad,gesprochene oder publizierte Sprachen,Englisch
Toni Braxton,Tätigkeit,Singer-Songwriter
Argentinien,diplomatische Beziehung,Europäische Union
T. S. Eliot,beeinflusst von,Joseph Conrad
Irene Cara,Arbeitsgebiet,Musikkomposition
Samuel Johnson,Tätigkeit,Politiker
Jamaika,Mitglied von,Karibische Entwicklungsbank
Russland,diplomatische Beziehung,Aserbaidschan
George Soros,Religionszugehörigkeit,Atheismus
Julian Lennon,Tätigkeit,Gitarrist
Luxemburg,Kontinent,Europa
Carl Friedrich von Weizsäcker,Mitglied von,Deutsche Akademie für Sprache und Dichtung
Joan Baez,gesprochene oder publizierte Sprachen,Englisch
Giovanni Schiaparelli,Tätigkeit,Politiker
Shannon Leto,Tätigkeit,Fernsehschauspieler
Sid Caesar,Bevölkerungsgruppe,Juden
Andrew Ridgeley,Genre,Rockmusik
Vereinigtes Königreich,diplomatische Beziehung,Kuwait
David Hasselhoff,Tätigkeit,Filmschauspieler
Prince,Genre,Synthie Pop
Lance Bass,Tätigkeit,Tänzer
John Updike,beeinflusst von,Ernest Hemingway
Shaquille O’Neal,gesprochene oder publizierte Sprachen,Englisch
François Arago,Arbeitsgebiet,Astronomie
Polen,diplomatische Beziehung,Indonesien
Kuwait,diplomatische Beziehung,Pakistan
Vanessa Hudgens,Wohnsitz,Los Angeles
Leó Szilárd,Tätigkeit,Erfinder
Alice Walker,Tätigkeit,Dichter
Syrien,Mitglied von,Internationale Entwicklungsorganisation
Charles Rosen,Tätigkeit,Musikkritiker
Barry Gibb,Land der Staatsangehörigkeit,Vereinigte Staaten
Sakis Rouvas,Tätigkeit,Musikproduzent
Isaac Hayes,Genre,Soul
Ludwig Wittgenstein,Tätigkeit,Autor
Wladimir Afanassjewitsch Obrutschew,Arbeitgeber,Staatliche Universität Sankt Petersburg
Volksrepublik China,diplomatische Beziehung,Kroatien
Renaud Séchan,Tätigkeit,Aufnahmekünstler
Kinky Friedman,Tätigkeit,Songschreiber
Mario Praz,Tätigkeit,Übersetzer
Hannah Arendt,beeinflusst von,Immanuel Kant
Chile,Mitglied von,Organisation für das Verbot chemischer Waffen
Ike Turner,Tätigkeit,Singer-Songwriter
Mary Shelley,Tätigkeit,Essayist
Wiz Khalifa,Plattenlabel,Atlantic Records
Nicaragua,Mitglied von,Welthandelsorganisation
Witali Lasarewitsch Ginsburg,Land der Staatsangehörigkeit,Russland
Stephen Jay Gould,Mitglied von,National Academy of Sciences
T-Bone Walker,Plattenlabel,Columbia Records
Jacques Rivette,Tätigkeit,Filmregisseur
Svetlana Surganova,Land der Staatsangehörigkeit,Russland
Australien,diplomatische Beziehung,Jamaika
Mary Wollstonecraft,beeinflusst von,Thomas Paine
Ellie Goulding,Genre,Alternative Rock
Kid Cudi,Tätigkeit,Gitarrist
Mongolei,Mitglied von,UNESCO
Jack White,Tätigkeit,Musikproduzent
Ulrich von Wilamowitz-Moellendorff,Begräbnisort,Polen
Sambia,diplomatische Beziehung,Angola
Belize,Mitglied von,Internationale Bank für Wiederaufbau und Entwicklung
Theodor W. Adorno,Tätigkeit,Literaturkritiker
Ringo Starr,Tätigkeit,Filmeditor
Republik China,diplomatische Beziehung,Ghana
Detroit,Staat,Vereinigte Staaten
Simbabwe,Mitglied von,UNESCO
Mos Def,Tätigkeit,Songschreiber
Nelly,Land der Staatsangehörigkeit,Vereinigte Staaten
David Lynch,Tätigkeit,Maler
Trent Reznor,Tätigkeit,Musiker
Lesotho,Mitglied von,Internationale Fernmeldeunion
Adam Lambert,Tätigkeit,Musiker
Frankreich,Mitglied von,Visa-Waiver-Programm
Colm Tóibín,beeinflusst von,Henry James
Robert De Niro,Land der Staatsangehörigkeit,Italien
Robert Schumann,Wohnsitz,Leipzig
Marokko,Amtssprache,Arabisch
Harold Lloyd,Tätigkeit,Fotograf
Roy Clark,gesprochene oder publizierte Sprachen,Englisch
Pakistan,diplomatische Beziehung,Irak
Shakira,gesprochene oder publizierte Sprachen,Portugiesisch
Kap Verde,diplomatische Beziehung,Europäische Union
Mark Oliver Everett,Tätigkeit,Gitarrist
Vereinigte Staaten,diplomatische Beziehung,Polen
Vietnam,diplomatische Beziehung,Kuba
Franz Kafka,Tätigkeit,Tagebuchschreiber
Ilja Arnoldowitsch Ilf,Erkrankung,Tuberkulose
M. Pokora,Plattenlabel,Parlophone
Léo Ferré,Tätigkeit,Singer-Songwriter
E. T. A. Hoffmann,gesprochene oder publizierte Sprachen,Deutsch
Ilja Lwowitsch Oleinikow,Tätigkeit,Sänger
Tatjana Nikititschna Tolstaja,Arbeitgeber,Princeton University
Katar,Mitglied von,International Hydrographic Organization
Republik China,diplomatische Beziehung,Ruanda
Adriano Celentano,Tätigkeit,Regisseur
Kolumbien,Mitglied von,Internationales Zentrum zur Beilegung von Investitionsstreitigkeiten
Edgar Allan Poe,Tätigkeit,Essayist
Rick Rubin,Instrument,Klavier
Ben Stiller,gesprochene oder publizierte Sprachen,Englisch
Dmitri Anatoljewitsch Medwedew,gesprochene oder publizierte Sprachen,Englisch
Mihajlo Pupin,Arbeitgeber,Columbia University
Königreich der Niederlande,diplomatische Beziehung,Brasilien
Michael Jackson,Plattenlabel,Epic Records
Guy de Maupassant,Tätigkeit,Schriftsteller
Igor Strawinsky,Todesursache,Herzinsuffizienz
Jay Chou,Genre,Rockmusik
Alanis Morissette,Instrument,Mundharmonika
Leonard Cohen,Religionszugehörigkeit,Judentum
Augustin-Louis Cauchy,Mitglied von,Académie des sciences
Malaysia,diplomatische Beziehung,Salomonen
Claude Lévi-Strauss,Mitglied von,American Academy of Arts and Sciences
Diana Ross,Tätigkeit,Schauspieler
Dominica,Mitglied von,Multilaterale Investitions-Garantie-Agentur
Joseph Liouville,Sterbeort,Paris
Ludwig Geiger,Land der Staatsangehörigkeit,Deutschland
Aserbaidschan,diplomatische Beziehung,Europäische Union
Vietnam,Mitglied von,
Henry Rollins,Tätigkeit,Hörfunkmoderator
Brunei,Mitglied von,Internationale Fernmeldeunion
Jeff Goldblum,Tätigkeit,Jazzmusiker
Iwan Antonowitsch Jefremow,Genre,Roman
Deborah Harry,Genre,Rockmusik
Madonna,Tätigkeit,Dichter
Ukraine,diplomatische Beziehung,Irland
Karl Mannheim,Land der Staatsangehörigkeit,Vereinigtes Königreich
James Blunt,Instrument,Klavier
Michail Afanassjewitsch Bulgakow,Bevölkerungsgruppe,Russen
Gabriel García Márquez,beeinflusst von,Virginia Woolf
Sakis Rouvas,Tätigkeit,Sänger
Christopher Hitchens,Tätigkeit,Schriftsteller
Lana Del Rey,Tätigkeit,Komponist
James Watson,Tätigkeit,Chemiker
Charles Wheatstone,Mitglied von,Preußische Akademie der Wissenschaften
Uruguay,diplomatische Beziehung,Panama
Ludwig Prandtl,Mitglied von,Preußische Akademie der Wissenschaften
Cyndi Lauper,Tätigkeit,Filmschauspieler
John Cage,Tätigkeit,Hochschullehrer
Indonesien,diplomatische Beziehung,Iran
Friedrich Engels,Todesursache,Krebs
Brunei,diplomatische Beziehung,Pakistan
Aaliyah,Wohnsitz,Brooklyn
John Lennon,Tätigkeit,Maler
Henri Victor Regnault,Tätigkeit,Physiker
Belize,Kontinent,Nordamerika
Tracy Chapman,Tätigkeit,Gitarrist
Lew Nikolajewitsch Gumiljow,Land der Staatsangehörigkeit,Russisches Kaiserreich
Deutschland,diplomatische Beziehung,Ruanda
Galina Pawlowna Wischnewskaja,Tätigkeit,Musikpädagoge
Mohandas Karamchand Gandhi,Tätigkeit,Essayist
Hulk Hogan,Tätigkeit,Singer-Songwriter
Corbin Bleu,Tätigkeit,Sänger
